test_name,snyk_total_execution_time,snyk_max_mem_usage_in_kb,snyk_no_of_file_system_inputs,snyk_no_of_file_system_outputs,pysa_total_execution_time,pysa_max_mem_usage_in_kb,pysa_no_of_file_system_inputs,pysa_no_of_file_system_outputs,codeql_total_execution_time,codeql_max_mem_usage_in_kb,codeql_no_of_file_system_inputs,codeql_no_of_file_system_outputs,pyt_total_execution_time,pyt_max_mem_usage_in_kb,pyt_no_of_file_system_inputs,pyt_no_of_file_system_outputs
with_statement_2,3.6,194076,360,552,441.8,2666344,102064,2296,207.95,836464,94960,66024,1.0,17876,22112,2440
object_sensitivity_2,23.31,192620,2552,560,434.53000000000003,2667664,2056,2272,205.67000000000002,826224,88,63944,0.65,18076,0,2440
for_statement_1,19.369999999999997,258672,4440,624,433.46000000000004,2663896,8728,2256,853.5100000000001,3973200,253624,1140056,0.74,20220,0,2432
inherited_objects_1,19.17,236392,6832,600,436.28,2674432,11688,2424,238.82,835708,46296,65432,0.73,17900,0,2440
decorator_2,13.38,259708,3104,592,437.02,2665088,12568,2240,200.60999999999999,887232,152,63456,0.7,17872,0,2440
dict_access_1,16.92,256084,8,616,434.8,2663828,13512,2424,214.06999999999996,878660,80,66672,0.71,18048,0,2440
deque_access_1,14.040000000000001,194504,1584,560,434.1,2663232,2336,2256,873.68,3828376,324248,1125736,0.81,17976,0,2440
object_sensitivity_1,11.370000000000001,194380,2432,560,433.53,2688644,448,2584,217.85000000000002,808112,46112,67488,0.7,18060,0,2440
match_statement_1,16.78,193232,0,560,433.28999999999996,2666508,1544,1232,849.74,3944204,25736,1058208,1.79,18008,2344,3624
list_copy_1,11.89,254404,8,624,435.78,2667944,16,2592,226.67999999999998,804892,23832,60904,0.76,17880,0,2440
aliasing_1,13.65,187900,8,560,433.93,2664172,2056,2384,849.13,3560160,34112,1072208,0.87,18104,0,2440
decorator_1,12.12,256492,0,592,435.56,2665436,3656,2264,220.72,817620,38256,62696,0.6200000000000001,17880,0,2440
imports_1,10.49,196860,328,560,435.74,2666396,9896,2248,197.70000000000005,892672,160,64064,0.75,17728,8,2440
with_statement_3,11.92,252876,1264,616,435.85,2660236,15200,2280,206.32000000000002,837524,304,66880,0.73,17912,0,2440
reflection_1,10.9,192784,1240,560,436.64,2661756,23656,2480,203.66,977400,48,66760,0.8800000000000001,18128,0,2440
